"Customer ID","First Cust. Ref.","Comm. Inv. No","Entry No.","Part Number","C/O","Manufacturer","Manufacturer Name","Port of Entry","Port of Entry Name","Release Date Update","Tariff No","File No."
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB262","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB266","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB266X","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB2842","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB284S","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB6306","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16589","KIS/25-26/115","7602176-4","VB794E","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/12/2025 02:44","7325.10.0030","7602176"
"SIGMAC","16640","KIS/25-26/120","7602366-1","MB344","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/09/2025 13:14","7325.10.0025","7602366"
"SIGMAC","16640","KIS/25-26/120","7602366-1","VB2661","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/09/2025 13:14","7325.10.0030","7602366"
"SIGMAC","16640","KIS/25-26/120","7602366-1","VB266X","IN","INKAJIRO107HOW","KAJARIA IRON AND STEEL CO PVT LTD",="3901","CHICAGO, IL","11/09/2025 13:14","7325.10.0030","7602366"
